No,HGAL,SP-1A,SP-2A,SP-6B,SP-1C,SP-2C,BLCLpredict,Monocytepredict,NKG2A,3D12 MFI
283,42M01276,1,0,1,1,0,18.8768,16.7623,11.93,22.273
284,66K00429,1,0,1,1,0,18.8768,16.7623,32.768,22.075
285,66K00479,1,0,1,1,0,18.8768,16.7623,10.303,17.022
286,CAR30500,1,0,1,1,0,18.8768,16.7623,16.06,23.311
287,CAR30809,1,0,1,1,0,18.8768,16.7623,18.478,21.361
288,CAR33948,1,0,1,1,0,18.8768,16.7623,17.323,24.065
289,CAR39236,1,0,1,1,0,18.8768,16.7623,14.558,17.328
290,CAR40134,1,0,1,1,0,18.8768,16.7623,16.91,20.313
291,42M01335,0,2,1,2,0,19.7615,16.8508,6.048,14.234
292,66K00091,0,2,1,2,0,19.7615,16.8508,15.845,14.841
293,CAR19696,0,2,1,2,0,19.7615,16.8508,13.238,21.443
294,CAR27368,0,2,1,2,0,19.7615,16.8508,17.988,30.525
295,CAR33041,0,2,1,2,0,19.7615,16.8508,18.423,22.644
296,CAR33059,0,2,1,2,0,19.7615,16.8508,17.815,18.918
297,CAR33062,0,2,1,2,0,19.7615,16.8508,6.693,12.592
298,CAR33084,0,2,1,2,0,19.7615,16.8508,13.483,24.01
299,CAR34213,0,2,1,2,0,19.7615,16.8508,35.288,36.007
300,CAR34222,0,2,1,2,0,19.7615,16.8508,18.383,22.782
301,CAR30514,0,1,0,1,0,19.7108,17.3562,18.97,17.138
302,CAR33049,0,1,0,1,0,19.7108,17.3562,15.85,10.138
303,CAR33953,0,1,0,1,0,19.7108,17.3562,23.123,12.86
304,CAR34688,0,1,0,1,0,19.7108,17.3562,14.183,10.695
305,CAR34689,0,1,0,1,0,19.7108,17.3562,25.488,39.347
306,42M00118,0,1,1,1,0,15.9307,15.3746,8.665,18.638
307,42M00184,0,1,1,1,0,15.9307,15.3746,10.74,20.924
308,42M00544,0,1,1,1,0,15.9307,15.3746,12.545,27.759
309,42M00567,0,1,1,1,0,15.9307,15.3746,18.625,18.053
310,42M01088,0,1,1,1,0,15.9307,15.3746,9.875,14.181
312,42M01261,0,1,1,1,0,15.9307,15.3746,11.775,26.021
313,66K00525,0,1,1,1,0,15.9307,15.3746,15.685,13.848
314,CAR34680,0,1,1,1,0,15.9307,15.3746,35.623,40.036
315,CAR40131,0,1,1,1,0,15.9307,15.3746,17.82,25.19
316,CAR16858,2,0,1,1,0,20.5834,17.6424,30.06,31.066
317,CAR19673,2,0,1,1,0,20.5834,17.6424,35.835,31.621
318,CAR23295,2,0,1,1,0,20.5834,17.6424,2.475,9.098
319,CAR33952,2,0,1,1,0,20.5834,17.6424,23.943,20.942
320,CAR34660,2,0,1,1,0,20.5834,17.6424,12.055,18.425
322,CAR28872,1,1,1,1,1,19.9982,17.384,25.813,30.427
323,10J00221,0,2,0,2,0,23.5416,18.8324,21.218,29.892
324,42M00081,1,1,1,1,0,17.6373,16.2547,1.023,12.202
325,42M00099,1,1,1,1,0,17.6373,16.2547,31.705,11.253
326,42M00146,0,1,0,2,0,24.7811,19.34,9.17,10.979
327,42M00151,0,1,0,2,0,24.7811,19.34,12.775,16.779
328,42M00183,0,2,0,2,0,23.5416,18.8324,20.093,21.41
329,42M00793,0,2,0,1,0,18.4713,16.8486,17.793,17.606
330,42M01121,1,1,0,2,0,26.4877,20.2201,17.018,20.134
331,42M01130,2,0,1,1,0,20.5834,17.6424,17.478,17.852
332,42M01158,1,1,1,1,0,17.6373,16.2547,9.778,25.605
333,42M01496,1,0,0,1,0,22.6569,18.7439,17.83,19.917
335,CAR26234,1,1,0,1,0,21.4174,18.2363,8.833,15.19
336,CAR33088,1,1,0,2,0,26.4877,20.2201,20.735,18.632
337,CAR34664,1,1,0,2,0,26.4877,20.2201,24.365,21.324
338,CAR39218,1,0,0,2,0,27.7272,20.7277,53.885,11.221
339,05E02247,0,1,1,2,0,21.001,17.3584,9.655,14.378
340,10J00203,0,2,1,1,0,14.6912,14.867,27.855,16.618
341,42M00001,0,2,1,1,0,14.6912,14.867,16.418,20.028
342,42M00011,1,1,0,1,0,21.4174,18.2363,10.635,16.597
343,42M00020,0,2,0,2,0,23.5416,18.8324,10.15,11.158
344,42M00098,0,2,0,1,0,18.4713,16.8486,28.688,32.484
345,42M00902,0,2,0,2,0,23.5416,18.8324,16.878,11.911
346,42M00132,0,2,0,2,0,23.5416,18.8324,5.998,12.85
347,42M00167,1,1,1,1,0,17.6373,16.2547,8.98,14.046
348,42M00168,0,2,2,0,0,5.8408,10.9016,12.063,20.471
349,05E01615,0,2,0,0,1,15.7619,15.9941,17.173,20.127
