Cell Preparation,Stoichiometry,Cytokine conditioning,Donor,Time,IFNg,IL-10,IL-17a,IL-2,IL-4,IL-6,TNF
With bystander,1:1,IL-12+IL-15,277,3.0,3.654522924007715e-07,1.2350762430642e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.6569290290726778e-07,7.387539455259537e-08
With bystander,1:1,IL-12+IL-15,277,6.0,6.729763204277937e-07,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,4.069349931355088e-07,5.4086562338057525e-08
With bystander,1:1,IL-12+IL-15,277,12.0,1.012811208578167e-06,1.4217674836840147e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,9.71580373200066e-07,6.288372299614564e-08
With bystander,1:1,IL-12+IL-15,277,18.0,8.946484064257257e-07,1.6462003720042042e-08,1.6550661233556623e-07,2.3263469986645287e-08,6.66068645433638e-09,1.0838330060247672e-06,4.7100133339302815e-08
With bystander,1:1,IL-12+IL-15,277,24.0,8.892279612465555e-07,1.855491127528835e-08,2.3263351210320228e-07,1.5982565543759956e-08,6.66068645433638e-09,1.2078617334238471e-06,5.507367622940531e-08
With bystander,1:1,IL-12+IL-15,277,30.0,7.462870498083293e-07,1.7772099720584908e-08,1.589019219424751e-07,1.5982565543759956e-08,6.66068645433638e-09,1.0473850172705166e-06,6.721520768621742e-08
With bystander,1:1,IL-12+IL-15,277,36.0,5.884443977467127e-07,1.4880177662348031e-08,1.5823225604150981e-07,1.5982565543759956e-08,6.66068645433638e-09,9.775841170399887e-07,9.611814116571594e-08
With bystander,1:1,IL-12+IL-15,277,42.0,4.5207143878508077e-07,1.194822610789883e-08,9.778809173382325e-08,1.5982565543759956e-08,1.0659383482940278e-08,6.885538240502914e-07,6.960423969690365e-08
With bystander,1:1,IL-12+IL-15,277,48.0,4.0277486559298984e-07,1.3019638683595077e-08,1.0222908362377342e-07,1.5982565543759956e-08,9.448691800414667e-09,7.035632816017251e-07,3.684431542634806e-08
With bystander,1:1,IL-12+IL-15,277,60.0,3.6803423051819955e-07,7.724573615440419e-09,1.6222478584918737e-07,1.5982565543759956e-08,6.66068645433638e-09,6.42333056061132e-07,7.103201740690144e-08
With bystander,1:1,IL-12+IL-15,277,72.0,2.9540407409121594e-07,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,1.3745797530570813e-08,7.306439721117287e-07,5.061075030505112e-08
With bystander,1:1,IL-12+IL-15,278,1.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,5.5925446032317804e-08,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,278,3.0,8.85336487795237e-08,1.1544738829893453e-08,8.536235005092829e-08,1.6907705502910622e-08,6.66068645433638e-09,1.0031721152499012e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,278,6.0,2.0304347031394364e-07,1.6986882093596463e-08,1.0046717509279815e-07,1.5982565543759956e-08,6.66068645433638e-09,3.1229597161209037e-07,3.4745926391007655e-08
With bystander,1:1,IL-12+IL-15,278,12.0,1.771914074462607e-07,1.3019638683595077e-08,1.0483755738252684e-07,1.5982565543759956e-08,1.7562579429430744e-08,6.185019977679947e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,278,18.0,1.2840409619310019e-07,1.7510633968408526e-08,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,7.505432652258272e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,278,24.0,1.0980067731273714e-07,2.3719841569122326e-08,8.754832581877548e-08,1.8358338716387214e-08,8.839368170770971e-09,7.929760690121374e-07,6.288372299614564e-08
With bystander,1:1,IL-12+IL-15,278,30.0,1.0082258859610317e-07,2.3207151764253608e-08,9.778809173382325e-08,1.5982565543759956e-08,6.66068645433638e-09,8.774591839566606e-07,3.4745926391007655e-08
With bystander,1:1,IL-12+IL-15,278,36.0,6.99873464336126e-08,2.5380896640962034e-08,8.536235005092829e-08,1.753064701765592e-08,6.66068645433638e-09,8.335687957984137e-07,5.011143826704547e-08
With bystander,1:1,IL-12+IL-15,278,42.0,6.05560353717651e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,9.144382113814378e-09,5.616941708341149e-07,3.102814170362534e-08
With bystander,1:1,IL-12+IL-15,278,48.0,6.6976051272498e-08,7.465354056645608e-09,1.0135048096807045e-07,2.7084446399795954e-08,1.4337310459912995e-08,7.494257391570502e-07,5.9485065815223734e-08
With bystander,1:1,IL-12+IL-15,278,60.0,5.795462764691404e-08,1.9465306127380372e-08,2.0223365166045336e-07,1.5982565543759956e-08,6.66068645433638e-09,5.574013256168797e-07,3.94432675521506e-08
With bystander,1:1,IL-12+IL-15,278,72.0,3.409969970164346e-08,8.82732249929891e-09,8.536235005092829e-08,1.5982565543759956e-08,1.295435996912677e-08,5.116651595452139e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,279,1.0,4.783200118770318e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,7.513986693417521e-08,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,279,3.0,2.410244406153469e-07,1.7510633968408526e-08,1.244456719901635e-07,1.5982565543759956e-08,6.66068645433638e-09,1.081681355669605e-07,3.0800562973453844e-08
With bystander,1:1,IL-12+IL-15,279,6.0,1.2563935788623802e-08,7.465354056645608e-09,8.536235005092829e-08,1.5982565543759956e-08,6.66068645433638e-09,1.9016324386417526e-08,3.0800562973453844e-08
